106;05/11/2025;Quarta-Feira;Movto.Financeiro;0;611.771,37;6 - BRADESCO;1531192;;87 - FGTS Rescisao;PIX QR CODE DINAMICO DES: CEF MATRIZ 05/11 ( FGTS 27 RECISÕES ) ;
8;11/11/2025;Terça-Feira;Transferências;0;400.000,00;6 - BRADESCO;1451066;;6 - Transferencia entre Contas;TRANSFERENCIA PIX DES: MACLINEA - MAQUINAS E 11/11;
216;12/11/2025;Quarta-Feira;Movto.Financeiro;0;400.000,00;6 - BRADESCO;1452293;;6 - Transferencia entre Contas;TRANSFERENCIA PIX  DES: MACLINEA - MAQUINAS E 12/11;
527;02/12/2025;Terça-Feira;Movto.Financeiro;0;175.503,80;5 - CAIXA ECONOMICA;IMP SALDO;;5 - Implantaçao de Saldo;IMPLANTAÇÃO DE SALDO CONTA CAIXA 02/12/2025;
913;10/12/2025;Quarta-Feira;Movto.Financeiro;0;162.053,83;1 - UNICREDI;FGTS;;87 - FGTS Rescisao;DEBITO PAGAMENTO PIX ( Doc.: PGTO PIX / CAIXA ECONOMICA FEDERAL );
242;17/11/2025;Segunda-Feira;Movto.Financeiro;0;155.820,00;1 - UNICREDI;Hanna;;36 - Despesas Financeiras;LIQUIDACAO DE TITULO - IB ( Doc.: 7610337300 / Boleto Hanna );9090 - HANNA HADDAD & CIA LTDA
61;04/11/2025;Terça-Feira;Movto.Financeiro;0;113.373,49;6 - BRADESCO;1242474;;88 - Salarios Rescisao;TRANSFERENCIA PIX DES: LUIZ FERNANDO MACHADO 04/11;
403;27/11/2025;Quinta-Feira;Movto.Financeiro;0;107.302,52;1 - UNICREDI;ACORDO;;94 - Ações Trabalhistas;PAGAMENTO REALIZADO À ADVOGADA, ACORDO REALIZADO COM RICARDO FERNANDES;2169 - RICARDO DE OLIVEIRA FERNANDES
155;06/11/2025;Quinta-Feira;Movto.Financeiro;0;105.618,57;6 - BRADESCO;1332332;;87 - FGTS Rescisao;PIX QR CODE DINAMICO DES: CEF MATRIZ 06/11;
60;04/11/2025;Terça-Feira;Movto.Financeiro;0;95.766,57;6 - BRADESCO;1242456;;88 - Salarios Rescisao;TRANSFERENCIA PIX DES: GERSON ANTONIO LABRES 04/11;
